word,frequency
lichaam,40026
bieden,39997
universiteit,39861
tafel,39646
vervangen,39624
oke,39616
bal,39592
lief,39533
klasse,39474
jongste,39393
gegevens,39372
kaart,39344
geschreven,39119
voorstellen,39024
ii,39011
gewone,38962
name,38958
minstens,38918
gesprek,38820
midden,38810
35,38797
alvast,38743
goe,38726
kwaliteit,38704
verkeer,38682
rustig,38678
prijzen,38649
twaalf,38643
gebouw,38595
italie,38587
stelde,38586
bekende,38567
!!,38561
personeel,38528
voelen,38511
juiste,38487
groei,38357
2007,38329
slachtoffer,38321
patrick,38295
regels,38204
verkopen,38158
voel,37982
discussie,37978
spel,37952
brusselse,37939
scholen,37915
slapen,37907
band,37897
raakte,37877
indruk,37852
onlangs,37801
plus,37768
amerika,37750
gehoord,37663
doden,37547
geloven,37528
spreekt,37512
advies,37499
kader,37423
bouwen,37412
verkoop,37392
aanwezig,37380
tegenwoordig,37360
museum,37347
stoppen,37328
gesloten,37288
hoi,37276
dertig,37239
80,37227
kansen,37218
duur,37209
neer,37208
sorry,37206
voorzien,37158
gespeeld,37118
hallo,37054
york,37026
biedt,36917
sector,36869
verband,36854
gezin,36847
slachtoffers,36804
mis,36740
debat,36732
politici,36714
contract,36707
spanje,36587
openbare,36580
wedstrijden,36475
proces,36466
verslag,36407
cafe,36393
vakantie,36387
italiaanse,36387
loop,36386
invloed,36342
genk,36295
activiteiten,36267
hoogste,36254
klopt,36187
un,36176
opgenomen,36165
beslist,36154
veranderen,36146
mogelijke,36123
federale,36111
rechtbank,36110
stonden,36046
reactie,36041
honderd,36028
70,35987
it,35965
optreden,35917
antwerpse,35906
telt,35901
dirk,35867
productie,35864
enorm,35858
middelen,35799
eenmaal,35795
kabinet,35785
baan,35771
helaas,35761
welk,35721
'm,35659
site,35617
se,35555
gebeurde,35494
zette,35479
gemeenten,35460
kwijt,35437
wilden,35400
brief,35330
voelt,35327
stel,35307
vastgesteld,35271
amper,35226
veld,35219
algemene,35180
dragen,35176
leiding,35168
pijn,35163
justitie,35158
mevrouw,35130
speciale,35128
omzet,35103
broer,35097
feiten,35088
daarop,35056
haag,35023
pb,34996
veiligheid,34983
ministerie,34957
hangt,34927
belgen,34907
dak,34897
ontstaan,34846
dans,34832
kwestie,34798
gevaar,34792
match,34792
vanwege,34792
verliezen,34737
merk,34712
jeugd,34702
inzake,34700
collega's,34693
vriendin,34619
keren,34611
buitenland,34592
beperkt,34543
zolang,34512
leuke,34476
binnenkort,34429
moord,34424
onmiddellijk,34317
centrale,34312
absoluut,34292
peeters,34278
trok,34273
verlies,34269
bewoners,34196
vuur,34122
schade,34120
00,34099
rusland,34032
stil,33988
post,33960
londen,33818
wakker,33808
hoofdstad,33793
erin,33761
beelden,33753
vaste,33741
kortrijk,33609
diverse,33588
wim,33584
openbaar,33493
allerlei,33459
verlaten,33457
energie,33447
as,33427
makkelijk,33404
samenleving,33396
plek,33385
enorme,33340
welkom,33255
bron,33250
neen,33241
rotterdam,33218
gekozen,33199
bedankt,33190
werkte,33149
winkel,33115
maatschappij,33050
schrijft,33049
tel.,33043
bush,33032
haalt,33029
blijf,32961
geluk,32917
stappen,32917
aarde,32874
fr.,32863
dorp,32858
90,32850
200,32829
volle,32742
spaanse,32725
bedrag,32719
steden,32704
geel,32693
bijlage,32679
1999,32658
positief,32606
studenten,32593
zorg,32517
burgers,32496
drinken,32491
dient,32447
alweer,32400
noemt,32350
sluiten,32308
vrijheid,32301
hopen,32285
hans,32241
eisen,32204
positie,32200
sp.a,32181
michael,32175
prive,32155
persoonlijke,32132
kijkt,32119
eu,32102
beschikking,32058
toepassing,32052
nochtans,32044
koers,31970
banken,31958
gebrek,31935
internationaal,31910
bus,31896
provinciale,31860
afstand,31858
tegelijk,31852
advocaat,31741
sneller,31712
gewerkt,31705
regen,31705
tonen,31690
functie,31684
cel,31679
beurs,31654
woont,31591
sociaal,31558
zorgt,31477
mogelijkheden,31476
bedoel,31416
zege,31311
lijken,31310
gesproken,31308
respect,31250
1996,31243
my,31178
gek,31171
hotel,31114
verloor,31099
regelmatig,31091
ontvangen,31029
betaald,31014
televisie,30990
geraakt,30985
trein,30924
rij,30904
reed,30895
wk,30881
standard,30848
bereiken,30848
mezelf,30808
groene,30778
moderne,30749
erbij,30708
initiatief,30701
eh,30695
meneer,30683
hangen,30680
zowat,30675
roeselare,30675
val,30672
verdrag,30642
carriere,30630
voormalige,30622
officiele,30593
piet,30585
tis,30557
leterme,30556
gemiddelde,30528
amerikanen,30491
aanleiding,30491
plots,30478
auto's,30435
bestaande,30386
bureau,30385
genieten,30364
wint,30322
reeds,30247
probeert,30236
sommigen,30220
vijftien,30205
leidt,30198
dl,30196
diensten,30184
\,30172
perfect,30159
wind,30141
voelde,30108
sfeer,30099
zomaar,30084
bewijzen,30076
grens,30075
hof,30038
eerlijk,29985
westen,29982
veroordeeld,29968
bedoeld,29918
grotere,29887
plezier,29885
technische,29883
verwachten,29866
persoonlijk,29825
1995,29796
eveneens,29641
terrein,29638
gouden,29614
lees,29583
groepen,29582
mond,29506
pak,29488
voordeel,29485
vijftig,29480
rechten,29459
mogelijkheid,29456
ding,29421
geert,29404
bereid,29398
omstandigheden,29395
station,29384
russische,29372
rekenen,29366
militaire,29331
kwaad,29187
allen,29154
h,29092
brandweer,29084
gemiddeld,29068
pour,29051
volledige,29023
voet,28991
zaten,28954
vlamingen,28945
opleiding,28919
officieel,28911
zaal,28900
vijfde,28864
dienen,28856
dikke,28814
sturen,28810
droog,28772
warm,28756
lachen,28726
deden,28722
verantwoordelijk,28681
risico,28661
diep,28653
f,28589
product,28589
fijn,28587
waard,28541
steken,28507
gemakkelijk,28472
reis,28449
redenen,28444
hasselt,28419
dagelijks,28385
bestuurder,28367
waarvoor,28363
koffie,28359
films,28349
moslims,28342
kaarten,28331
uren,28314
beweging,28293
vonden,28267
sta,28244
schuld,28243
bereikt,28223
overleg,28213
natuur,28203
overwegende,28197
verhalen,28151
totale,28137
rechts,28132
gedacht,28123
rijk,28082
vaker,28070
serieus,28068
gericht,28067
comite,28019
zoekt,27988
at,27986
job,27981
nadien,27967
turkije,27963
aangezien,27962
voordat,27948
handel,27916
slaan,27879
koop,27837
noch,27796
une,27785
ff,27780
verplicht,27778
studie,27771
tour,27660
rapport,27653
klassieke,27644
voorsprong,27644
hond,27638
fiets,27614
michel,27614
wijn,27558
zwart,27557
prins,27512
overwinning,27470
bloed,27365
eraan,27338
gehaald,27328
overleden,27327
prima,27324
tuin,27233
keek,27137
tijden,27124
hoorde,27116
da's,27097
werking,27075
wegen,27073
zuiden,27065
voorwaarden,27064
speciaal,27062
cd,26999
verantwoordelijkheid,26955
dossier,26941
1998,26921
bergen,26915
geregeld,26912
nergens,26895
nederlanders,26889
thomas,26884
centraal,26864
nodige,26862
kampioen,26861
vakbonden,26812
hogere,26770
eigenaar,26745
elf,26737
versie,26721
overeenkomst,26713
bos,26708
maakten,26701
sprak,26692
leveren,26690
probeer,26687
zulke,26672
pieter,26642
uitspraak,26614
ziek,26550
park,26514
bedraagt,26510
begrijpen,26509
uitgevoerd,26497
boodschap,26483
zagen,26457
kleur,26444
live,26435
ware,26425
rood,26401
32,26397
beneden,26392
45,26360
'n,26359
2008,26328
jaarlijks,26309
bewust,26206
verkeerd,26201
gestolen,26181
verboden,26172
engeland,26136
ermee,26118
charleroi,26117
laag,26106
lacht,26101
harde,26089
betreffende,26074
publieke,26050
angst,26047
deelnemers,26045
uhm,26016
coach,25986
geplaatst,25986
engels,25957
gisteravond,25953
jezelf,25947
baas,25887
collega,25886
boom,25848
wees,25831
vooruit,25831
verklaring,25815
bouw,25800
waarheid,25799
speler,25797
di,25784
waaronder,25770
duizenden,25761
vreemd,25760
feest,25758
positieve,25742
dokter,25726
gele,25725
opgepakt,25702
que,25697
koen,25693
toegang,25685
huizen,25677
albert,25656
bekijken,25639
limburg,25635
middag,25592
parket,25585
d'r,25527
stukken,25507
ouder,25503
vereniging,25480
tja,25467
daarover,25466
eg,25442
onmogelijk,25423
gelezen,25413
verdwenen,25393
interessant,25391
schrijver,25386
draait,25376
probeerde,25375
praktijk,25375
tenminste,25373
guy,25358
bellen,25329
veilig,25325
tijdje,25307
gevolgd,25306
karakter,25265
keuken,25259
islam,25256
overtuigd,25252
passen,25215
leeft,25200
hoopt,25169
33,25154
es,25129
reageren,25127
campagne,25120
competitie,25092
